created_at,item_id,client_id
2020-09-01 09:49:12.285421,10142,100000015
2020-09-01 16:44:09.888896,10113,100000010
2020-09-01 22:40:07.678792,10105,100000010
2020-09-02 18:48:22.620671,10177,100000022
2020-09-02 11:04:38.703035,10039,100000019
2020-09-02 01:10:18.099408,10116,100000000
2020-09-02 14:17:30.311992,10004,100000007
2020-09-02 21:52:58.780712,10108,100000018
2020-09-03 19:24:49.653946,10056,100000056
2020-09-03 07:53:19.830308,10137,100000019
2020-09-03 15:18:46.085616,10190,100000006
2020-09-03 03:39:19.725915,10004,100000022
2020-09-03 13:24:59.201734,10065,100000056
2020-09-04 11:07:51.231077,10150,100000012
2020-09-04 02:21:22.346936,10190,100000045
2020-09-04 10:24:02.512048,10234,100000028
2020-09-04 14:16:40.542148,10144,100000076
2020-09-04 11:00:11.609790,10054,100000000
2020-09-04 22:32:16.930708,10176,100000032
2020-09-04 15:10:07.594804,10262,100000076
2020-09-05 15:17:08.638287,10274,100000062
2020-09-05 15:06:43.961337,10120,100000058
2020-09-05 03:06:35.687611,10236,100000003
2020-09-05 20:38:35.714849,10170,100000100
2020-09-05 02:51:46.823129,10074,100000098
2020-09-05 10:26:24.565421,10054,100000098
2020-09-06 22:10:01.425044,10105,100000088
2020-09-06 01:13:13.394116,10266,100000100
2020-09-06 09:16:21.621977,10093,100000116
2020-09-06 16:03:41.236993,10001,100000127
2020-09-06 01:42:40.135601,10102,100000100
2020-09-06 14:46:52.503841,10087,100000127
2020-09-07 21:15:34.671181,10250,100000146
2020-09-07 11:57:37.995786,10245,100000146
2020-09-07 11:57:05.105269,10028,100000012
2020-09-07 11:39:51.909126,10154,100000067
2020-09-07 14:39:40.494160,10152,100000046
2020-09-07 04:06:50.683896,10046,100000046
2020-09-08 05:59:13.587948,10021,100000037
2020-09-08 00:12:07.648763,10061,100000092
2020-09-08 22:12:33.053119,10013,100000151
2020-09-08 10:00:00.606422,10197,100000077
2020-09-08 22:14:44.005125,10246,100000127
2020-09-09 01:33:35.957772,10086,100000025
2020-09-09 21:02:29.465579,10186,100000187
2020-09-09 19:50:23.010947,10187,100000083
2020-09-09 16:13:13.035993,10090,100000088
2020-09-09 16:19:22.834741,10028,100000160
2020-09-09 00:30:28.913616,10231,100000158
2020-09-10 05:29:23.834358,10234,100000041
2020-09-10 07:57:10.128318,10047,100000111
2020-09-10 20:03:19.770329,10177,100000027
2020-09-10 11:37:33.633626,10009,100000208
2020-09-10 19:09:51.736064,10235,100000208
2020-09-10 07:36:16.004037,10179,100000080
2020-09-11 07:13:55.322747,10248,100000180
2020-09-11 19:57:22.197885,10222,100000021
2020-09-11 11:59:15.672706,10054,100000142
2020-09-11 09:05:37.702837,10185,100000227
2020-09-11 14:01:34.493316,10257,100000229
2020-09-11 12:01:28.409929,10197,100000003
2020-09-12 09:13:34.780059,10236,100000144
2020-09-12 03:48:20.990687,10253,100000177
2020-09-12 22:37:40.165475,10079,100000256
2020-09-12 02:41:37.257667,10190,100000251
2020-09-12 09:04:52.524722,10157,100000045
2020-09-12 15:40:19.809356,10260,100000256
2020-09-12 04:59:18.056449,10239,100000136
2020-09-12 21:03:18.049028,10244,100000105
